pais,consumo_renovavel,consumo_nao_renovavel
China,5409.571000000001,34728.393
United States,2364.251,19936.997
Brazil,1465.315,1706.122
Canada,1143.299,2400.681
India,754.9350000000001,7856.125999999999
Russia,567.688,6964.822
Germany,564.319,2554.147
Japan,432.33500000000004,4189.554
Norway,400.95300000000003,155.62900000000002
France,331.11699999999996,1190.199
Spain,305.325,951.1179999999999
Turkey,300.224,1482.043
Sweden,277.641,162.97099999999998
United Kingdom,266.86899999999997,1451.432
Italy,253.10399999999998,1320.9969999999998
Vietnam,222.21,981.098
Venezuela,176.515,351.342
Mexico,166.714,1827.884
Australia,161.072,1413.168
Indonesia,142.386,1942.6640000000002
Colombia,139.699,363.883
Austria,138.123,247.333
Pakistan,114.057,837.067
Switzerland,107.669,136.702
Argentina,100.055,737.522
Peru,91.844,194.651
Chile,91.757,328.05600000000004
Malaysia,86.29599999999999,1106.1950000000002
South Korea,77.268,2821.207
Netherlands,72.00099999999999,879.628
Portugal,71.539,181.059
New Zealand,70.29299999999999,145.725
Romania,68.21600000000001,270.63300000000004
Finland,68.094,150.225
Iran,65.43299999999999,3306.4959999999996
Egypt,64.577,924.492
Ecuador,64.34299999999999,117.017
Poland,64.04899999999999,1048.53
Thailand,59.569,1276.961
Belgium,55.315,505.09599999999995
Denmark,48.995999999999995,108.59400000000001
Greece,47.3,228.208
Ukraine,43.114000000000004,680.8820000000001
South Africa,36.39,1330.242
Ireland,34.941,138.187
Iceland,34.788000000000004,8.270999999999999
Kazakhstan,31.320999999999998,704.596
Philippines,30.488000000000003,452.131
Taiwan,29.948,1176.176
Croatia,20.404,67.616
Morocco,18.331,224.20399999999998
Czechia,17.669,332.543
Bulgaria,17.116,130.93099999999998
Sri Lanka,16.14,89.541
Slovakia,15.391999999999998,121.471
Slovenia,15.022,45.378
United Arab Emirates,13.616,1186.9560000000001
Uzbekistan,13.147,526.828
Hungary,12.042,210.90400000000002
Iraq,11.922,559.941
Israel,11.748,273.013
Latvia,7.873,30.223999999999997
Lithuania,6.397,62.0
North Macedonia,3.725,23.799
Estonia,3.361,49.462
Luxembourg,3.219,36.134
Azerbaijan,3.184,181.424
Bangladesh,3.058,454.221
Belarus,1.9829999999999999,282.854
Algeria,1.9489999999999998,646.9490000000001
Cyprus,1.695,26.392
Hong Kong,0.843,256.74
Singapore,0.775,907.5569999999999
Saudi Arabia,0.559,2885.852
Oman,0.42000000000000004,360.07099999999997
Kuwait,0.167,397.71500000000003
Turkmenistan,0.026,439.77
Qatar,0.022,511.085
Trinidad and Tobago,0.016,169.326
Mongolia,0.0,0.0
Sudan,0.0,0.0
Congo,0.0,0.0
Chad,0.0,0.0
Syria,0.0,0.0
Brunei,0.0,0.0
Tunisia,0.0,0.0
Bolivia,0.0,0.0
Libya,0.0,0.0
Bahrain,0.0,0.0
Madagascar,0.0,0.0
Angola,0.0,0.0
Yemen,0.0,0.0
Zambia,0.0,0.0
Nigeria,0.0,0.0
Zimbabwe,0.0,0.0
New Caledonia,0.0,0.0
Papua New Guinea,0.0,0.0
Guyana,0.0,0.0
Gabon,0.0,0.0
Equatorial Guinea,0.0,0.0
Democratic Republic of Congo,0.0,0.0
Serbia,0.0,0.0
Myanmar,0.0,0.0
Mozambique,0.0,0.0
Curacao,0.0,0.0
South Sudan,0.0,0.0
Cuba,0.0,0.0
